model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
Qwen/Qwen2.5-72B,HumanEval,papers_2502.02737,papers_2505.09388,0.372,0.866,-0.494,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2309.16609,0.425,0.919,-0.494,unknown,unknown,unknown,lm-evaluation-harness,,
microsoft/phi-3-medium-4k-instruct,Mean win rate,helm_lite,helm_mmlu,0.509,0.015,0.494,,,helm,helm,,
ai21/jamba-1.5-large,Mean win rate,helm_lite,helm_mmlu,0.637,0.147,0.49,,,helm,helm,,
google/gemma-7b,Mean win rate,helm_lite,helm_mmlu,0.336,0.824,-0.488,,,helm,helm,,
openai/gpt-3.5-turbo,MATH,papers_2309.16609,papers_2501.00656,0.892,0.412,0.48,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,HumanEval,papers_2402.16819,papers_2505.09388,0.322,0.799,-0.477,0,0,lm-evaluation-harness,lm-evaluation-harness,,
amazon/nova-micro-v1:0,Mean win rate,helm_lite,helm_mmlu,0.524,1.0,-0.476,,,helm,helm,,
meta-llama/Meta-Llama-3-8B,MATH,papers_2407.10671,papers_2505.09388,0.6582,0.205,0.4532,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MBPP,papers_2309.16609,papers_2412.15115,0.148,0.599,-0.451,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,MMLU-Pro,papers_2412.15115,papers_2502.02737,0.581,0.137,0.444,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,MMLU-Pro,papers_2502.02737,papers_2505.09388,0.137,0.5807,-0.4437,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,MMLU,papers_2307.09288,papers_2501.00656,0.262,0.704,-0.442,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-14B,IFEval,hfopenllm_v2,papers_2505.09388,0.3694,0.81,-0.4406,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2.5-14B,IFEval,hfopenllm_v2,papers_2412.15115,0.3694,0.81,-0.4406,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
tiiuae/falcon-7b,MMLU,papers_2309.05463,papers_2501.00656,0.269,0.704,-0.435,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/text-davinci-003,Mean win rate,helm_classic,helm_lite,0.872,0.439,0.433,,,helm,helm,,
Qwen/Qwen2.5-72B,IFEval,hfopenllm_v2,papers_2412.15115,0.4137,0.841,-0.4273,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2.5-72B,IFEval,hfopenllm_v2,papers_2505.09388,0.4137,0.841,-0.4273,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
tiiuae/falcon-7b,MMLU,papers_2312.06550,papers_2501.00656,0.2779,0.704,-0.4261,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo-0613,Mean win rate,helm_classic,helm_lite,0.783,0.358,0.425,,,helm,helm,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2210.11416,papers_2505.09388,0.243,0.666,-0.423,5,5,unknown,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2210.11416,papers_2407.10671,0.243,0.666,-0.423,5,5,unknown,lm-evaluation-harness,,
tiiuae/falcon-7b,MMLU,papers_2407.14885,papers_2501.00656,0.2837,0.704,-0.4203,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2403.08295,papers_2406.11704,0.494,0.913,-0.419,25,25,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,MMLU,helm_lite,papers_2501.00656,0.288,0.704,-0.416,,5,helm,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2403.04652,papers_2409.12122,0.402,0.811,-0.409,4,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4o-2024-08-06,Mean win rate,helm_lite,helm_mmlu,0.928,0.52,0.408,,,helm,helm,,
meta-llama/Llama-2-13b-hf,DROP,papers_2210.11416,papers_2501.00656,0.05,0.456,-0.406,unknown,unknown,unknown,lm-evaluation-harness,,
anthropic/claude-3-5-haiku-20241022,Mean win rate,helm_lite,helm_mmlu,0.531,0.128,0.403,,,helm,helm,,
qwen/qwen2.5-7b-instruct-turbo,Mean win rate,helm_lite,helm_mmlu,0.488,0.887,-0.399,,,helm,helm,,
01-ai/yi-6b,Mean win rate,helm_lite,helm_mmlu,0.253,0.651,-0.398,,,helm,helm,,
openai/gpt-4,MATH,papers_2309.16609,papers_2505.09388,0.919,0.5236,0.3954,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2309.16609,papers_2412.15115,0.919,0.5236,0.3954,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2406.12793,papers_2501.12948,0.529,0.134,0.395,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,IFEval,hfopenllm_v2,papers_2505.09388,0.3824,0.776,-0.3936,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-72B,IFEval,hfopenllm_v2,papers_2407.10671,0.3824,0.776,-0.3936,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-72B,IFEval,hfopenllm_v2,papers_2412.15115,0.3824,0.776,-0.3936,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
google/gemini-1.5-pro-001,Mean win rate,helm_lite,helm_mmlu,0.739,0.349,0.39,,,helm,helm,,
openai/gpt-4,MATH,papers_2309.16609,papers_2406.12793,0.919,0.529,0.39,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2412.15115,papers_2501.12948,0.5236,0.134,0.3896,4,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2501.12948,papers_2505.09388,0.134,0.5236,-0.3896,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,GSM8K,papers_2309.16609,papers_2402.16819,0.212,0.601,-0.389,8,8,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,GPQA,papers_2406.12793,papers_2501.12948,0.357,0.746,-0.389,unknown,0,lm-evaluation-harness,lm-evaluation-harness,,
anthropic/claude-2.1,Mean win rate,helm_lite,helm_mmlu,0.437,0.048,0.389,,,helm,helm,,
meta-llama/Meta-Llama-3-8B,MGSM,papers_2210.11416,papers_2407.21783,0.301,0.689,-0.388,unknown,unknown,unknown,lm-evaluation-harness,,
Qwen/Qwen2.5-32B,IFEval,hfopenllm_v2,papers_2505.09388,0.4077,0.795,-0.3873,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2.5-32B,IFEval,hfopenllm_v2,papers_2412.15115,0.4077,0.795,-0.3873,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-7B,MATH,papers_2309.16609,papers_2409.12122,0.056,0.442,-0.386,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2409.12122,0.425,0.811,-0.386,unknown,4,unknown,lm-evaluation-harness,,
cohere/command-r-plus,Mean win rate,helm_lite,helm_mmlu,0.441,0.825,-0.384,,,helm,helm,,
Qwen/Qwen2.5-7B,IFEval,hfopenllm_v2,papers_2505.09388,0.3374,0.712,-0.3746,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2.5-7B,IFEval,hfopenllm_v2,papers_2412.15115,0.3374,0.712,-0.3746,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
google/gemma-7b,MATH,helm_lite,papers_2403.08295,0.5,0.127,0.373,,4,helm,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2406.11704,papers_2407.14885,0.7775,0.4046,0.3729,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-70B,MATH,papers_2407.10671,papers_2412.15115,0.797,0.425,0.372,4,4,lm-evaluation-harness,lm-evaluation-harness,,
qwen/qwen1.5-14b,Mean win rate,helm_lite,helm_mmlu,0.425,0.796,-0.371,,,helm,helm,,
google/Gemma-3-1B,MATH,papers_2501.00656,papers_2505.09388,0.403,0.0366,0.3664,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2401.04088,papers_2406.11704,0.549,0.913,-0.364,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2402.16819,papers_2406.11704,0.555,0.913,-0.358,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2310.06825,papers_2406.11704,0.555,0.913,-0.358,25,25,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2306.05685,papers_2403.17297,0.638,0.28,0.358,unknown,4,fastchat,opencompass,,
writer/palmyra-x-v3,Mean win rate,helm_lite,helm_mmlu,0.679,0.325,0.354,,,helm,helm,,
meta-llama/Meta-Llama-3-8B,BBH,hfopenllm_v2,papers_2406.11704,0.4598,0.813,-0.3532,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
openai/gpt-4-0613,Mean win rate,helm_lite,helm_mmlu,0.867,0.517,0.35,,,helm,helm,,
meta/llama-3-8b,Mean win rate,helm_lite,helm_mmlu,0.387,0.733,-0.346,,,helm,helm,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2501.00656,0.356,0.701,-0.345,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,BBH,papers_2309.16609,papers_2407.10671,0.282,0.626,-0.344,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2210.11416,papers_2407.21783,0.243,0.586,-0.343,5,5,unknown,lm-evaluation-harness,,
Qwen/Qwen2-7B,HumanEval,papers_2309.16609,papers_2407.10671,0.171,0.512,-0.341,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,BBH,papers_2309.16609,papers_2412.15115,0.282,0.623,-0.341,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,IFEval,hfopenllm_v2,papers_2403.17297,0.2386,0.579,-0.3404,0,unknown,lighteval,opencompass,lighteval/ifeval,
meta-llama/Meta-Llama-3-8B,ARC-Challenge,papers_2406.11704,papers_2407.10671,0.93,0.593,0.337,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,MMLU,papers_2402.17834,papers_2408.00118,0.417,0.752,-0.335,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/text-bison@001,Mean win rate,helm_lite,helm_mmlu,0.526,0.192,0.334,,,helm,helm,,
openai/gpt-3.5-turbo-0613,Mean win rate,helm_instruct,helm_lite,0.689,0.358,0.331,,,helm,helm,,
Qwen/Qwen2-7B,HumanEval,papers_2309.16609,papers_2412.15115,0.171,0.5,-0.329,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,MMLU,papers_2407.10671,papers_2408.00118,0.423,0.752,-0.329,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,IFEval,hfopenllm_v2,papers_2403.17297,0.23704999999999998,0.565,-0.32795,0,unknown,lighteval,opencompass,lighteval/ifeval,
Qwen/Qwen2-7B,MATH,papers_2309.16609,papers_2505.09388,0.056,0.3831,-0.3271,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MATH,papers_2309.16609,papers_2412.15115,0.056,0.3831,-0.3271,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
qwen/qwen1.5-110b-chat,Mean win rate,helm_lite,helm_mmlu,0.55,0.875,-0.325,,,helm,helm,,
Qwen/Qwen2-0.5B,MMLU,papers_2407.10671,papers_2505.09388,0.454,0.129,0.325,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,ARC-Challenge,papers_2302.13971,papers_2403.04652,0.514,0.837,-0.323,25,25,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-3B,HumanEval,papers_2412.15115,papers_2505.09388,0.421,0.744,-0.323,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,MMLU,papers_2412.15115,papers_2505.09388,0.443,0.129,0.314,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/mistral-7b-instruct-v0.3,Mean win rate,helm_lite,helm_mmlu,0.196,0.509,-0.313,,,helm,helm,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2406.11704,papers_2407.10671,0.913,0.6,0.313,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-3B,IFEval,hfopenllm_v2,papers_2412.15115,0.269,0.582,-0.313,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2406.11704,papers_2412.15115,0.913,0.6,0.313,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-3B,IFEval,hfopenllm_v2,papers_2505.09388,0.269,0.582,-0.313,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
google/Gemma2-9B,HumanEval,papers_2412.15115,papers_2505.09388,0.378,0.689,-0.311,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-1.5B,HumanEval,papers_2502.02737,papers_2505.09388,0.305,0.616,-0.311,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2403.04652,papers_2407.10671,0.402,0.7116,-0.3096,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2406.11704,papers_2408.00118,0.913,0.605,0.308,25,25,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2307.09288,papers_2412.15115,0.3996,0.703,-0.3034,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2307.09288,papers_2407.10671,0.3996,0.703,-0.3034,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2405.19327,papers_2407.14885,0.7153,0.4123,0.303,25,25,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/Falcon-Instruct,MMLU,papers_2310.16944,papers_2402.00838,0.5545,0.252,0.3025,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MMLU,papers_2210.11416,papers_2403.17297,0.257,0.558,-0.301,5,5,unknown,opencompass,,
meta-llama/Llama-2-13b-hf,MMLU,papers_2210.11416,papers_2501.00656,0.257,0.557,-0.3,5,5,unknown,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MGSM,papers_2407.21783,papers_2505.09388,0.689,0.3892,0.2998,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,HumanEval,papers_2403.08295,papers_2411.04905,0.262,0.561,-0.299,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,HumanEval,papers_2412.15115,papers_2505.09388,0.5,0.799,-0.299,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MMLU,papers_2210.11416,papers_2310.06825,0.257,0.556,-0.299,5,5,unknown,lm-evaluation-harness,,
Qwen/Qwen2.5-32B,HumanEval,papers_2412.15115,papers_2505.09388,0.585,0.884,-0.299,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MMLU,papers_2210.11416,papers_2401.04088,0.257,0.556,-0.299,5,5,unknown,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,GSM8K,papers_2502.02737,papers_2505.09388,0.617,0.915,-0.298,5,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,GSM8K,papers_2412.15115,papers_2502.02737,0.915,0.617,0.298,8,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2406.11704,papers_2407.14885,0.885,0.5873,0.2977,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2402.19173,0.177,0.474,-0.297,unknown,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
google/gemma-2b,MMLU,papers_2402.17834,papers_2408.12570,0.417,0.713,-0.296,5,5,lm-evaluation-harness,lm-evaluation-harness,,
anthropic/claude-3-sonnet-20240229,Mean win rate,helm_lite,helm_mmlu,0.377,0.082,0.295,,,helm,helm,,
openai/gpt-3.5-turbo,MATH,papers_2302.13971,papers_2306.05685,0.345,0.638,-0.293,unknown,unknown,lm-evaluation-harness,fastchat,,
Qwen/Qwen2.5-Turbo,HumanEval,papers_2412.15115,papers_2505.09388,0.573,0.866,-0.293,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2501.12948,0.425,0.134,0.291,unknown,4,unknown,lm-evaluation-harness,,
google/gemma-2b,MMLU,papers_2407.10671,papers_2408.12570,0.423,0.713,-0.29,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-57B-A14B,IFEval,hfopenllm_v2,papers_2407.10671,0.3113,0.599,-0.2877,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
openai/gpt-4,MATH,papers_2409.12122,papers_2505.09388,0.811,0.5236,0.2874,4,4,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2409.12122,papers_2412.15115,0.811,0.5236,0.2874,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-Plus,HumanEval,papers_2412.15115,papers_2505.09388,0.591,0.878,-0.287,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,HumanEval,papers_2407.10671,papers_2505.09388,0.512,0.799,-0.287,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,MATH,papers_2305.10403,papers_2407.10671,0.425,0.7116,-0.2866,unknown,4,unknown,lm-evaluation-harness,,
openai/gpt-3.5-turbo,BBH,papers_2403.04652,papers_2403.17297,0.701,0.419,0.282,3,3,lm-evaluation-harness,opencompass,,
openai/gpt-4-1106-preview,Mean win rate,helm_lite,helm_mmlu,0.698,0.416,0.282,,,helm,helm,,
openai/gpt-4,MATH,papers_2406.12793,papers_2409.12122,0.529,0.811,-0.282,4,4,lm-evaluation-harness,lm-evaluation-harness,,
amazon/nova-lite-v1:0,Mean win rate,helm_lite,helm_mmlu,0.708,0.987,-0.279,,,helm,helm,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2405.19327,papers_2501.00656,0.0931,0.372,-0.2789,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2307.09288,papers_2409.12122,0.3996,0.676,-0.2764,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,HumanEval,papers_2412.15115,papers_2505.09388,0.591,0.866,-0.275,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,MMLU,papers_2307.09288,papers_2505.09388,0.3996,0.673,-0.2734,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2312.06550,papers_2402.19173,0.2009,0.474,-0.2731,3,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
unknown/Mamba,HellaSwag,papers_2403.19887,papers_2404.05892,0.626,0.353,0.273,unknown,10,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,MATH,papers_2403.04652,papers_2501.00656,0.14,0.412,-0.272,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,GSM8K,papers_2405.04324,papers_2408.00118,0.498,0.769,-0.271,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta/llama-2-13b,Mean win rate,helm_lite,helm_mmlu,0.233,0.502,-0.269,,,helm,helm,,
meta/llama-3-70b,Mean win rate,helm_lite,helm_mmlu,0.793,0.524,0.269,,,helm,helm,,
Qwen/Qwen2.5-7B,HumanEval,papers_2412.15115,papers_2505.09388,0.579,0.848,-0.269,0,0,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,NaturalQuestions,papers_2403.04652,papers_2403.17297,0.27,0.539,-0.269,unknown,unknown,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2403.08295,papers_2406.11704,0.183,0.451,-0.268,0,0,lm-evaluation-harness,lm-evaluation-harness,,
